"Keyword","Intent","Volume","KD %","CPC","Competition","Results"
"hearts svg","I","5,400","26","1.34","1.00","113M"
"floral svg","I","3,600","29","0.93","1.00","223"
"hello kitty svg","C","3,600","25","0.33","0.80","197"
"bow svg","I","2,900","22","1.46","1.00","132"
"cross svg","I","2,900","17","0.65","1.00","723M"
"football svg","I","2,900","19","0.49","1.00","130"
"jpeg to svg converter","I","2,900","28","0.67","0.18","105"
"save svg as png","I","2,900","24","1.12","0.08","112"
"stitch svg","I","2,900","25","0.26","1.00","124"
"american robin .svg","I","2,400","24","0.00","0.00","11.5K"
"arrow svg","I","2,400","23","1.34","0.52","124"
"butterfly svg","I","2,400","17","0.53","1.00","124"
"eps to svg","I","2,400","29","2.21","0.02","118"
"flowers svg","I","2,400","29","0.93","1.00","105M"
"grinch svg","I","2,400","28","0.27","1.00","4.9M"
"nyc map outline svg","I","2,400","23","0.00","0.00","133"
"american flag svg","I","1,900","22","1.08","1.00","144"
"baseball svg","I","1,900","19","0.76","1.00","132M"
"bluey svg","I","1,900","25","0.20","1.00","3.5M"
"christmas svg","I","1,900","19","0.35","1.00","151"
"snowflake svg","I","1,900","22","1.08","1.00","123"
"spiderman svg","I","1,900","25","0.37","1.00","13.8M"
"svg to stl","I","1,900","23","1.60","0.02","177M"
"va counties svg map","I","1,900","18","0.00","0.00","n/a"
"basketball svg","I","1,600","25","0.40","1.00","n/a"
"christmas tree svg","I","1,600","24","1.00","1.00","125M"
"florida map with outline svg","I","1,600","20","0.00","0.00","n/a"
"labubu svg","I","1,600","27","0.21","1.00","2.3M"
"mickey mouse svg","I","1,600","15","0.24","1.00","4.8M"
"skull svg","I","1,600","15","0.94","1.00","26.6M"
"spider man svg","I","1,600","24","0.37","1.00","32.8M"
"sunflower svg","I","1,600","26","0.66","1.00","10.3M"
"svg butterfly","I","1,600","15","0.53","1.00","27.7M"
"webp to svg","I","1,600","25","1.38","0.02","818M"
"cat svg","I","1,300","22","0.41","1.00","127"
"cheer svg","I","1,300","20","0.78","1.00","10.8M"
"f-caw-f svg","I","1,300","20","0.00","0.00","215K"
